id,count,next_event_id,text,time,place,eff_mana,eff_plus_rich,null_field
1c,1,0,CHARACTER_1 наступил/наступила в медвежье говно…,0,fisherman,0,1,0
2c,1,0,CHARACTER_1 съел/съела неизвестные ягоды и у него/неё оторвало ногу,0,fisherman,0,1,0
3c,1,0,CHARACTER_1 накормил/накормила пиявок своей собственной ногой,0,fisherman,0,1,0
4c,1,0,CHARACTER_1 потерял/потеряла смысл жизни~ пока ходил/ходила за дровами,0,fisherman,0,1,0
5c,1,0,CHARACTER_1 нашел/нашла загадочную книгу и прочитал/прочитала заклинание,0,fisherman,4,1,0
6c,1,0,CHARACTER_1 поджег/подожгла себе жопу у костра,0,fisherman,0,1,0
7c,1,0,CHARACTER_1 обнаружил/обнаружила в у себя в рюкзаке вонючие носки,0,0,0,1,0
8c,1,0,CHARACTER_1 подрался/подралась с белками и проиграл/проиграла…,0,0,0,1,0
9c,1,0,CHARACTER_1 встретил/встретила сумашедшего лесника~ который дал ему/ей *издюлей,0,0,0,1,0
10c,1,0,CHARACTER_1 был/была атакован/атакована малярийными комарами,0,0,0,1,0
11c,2,0,CHARACTER_1 и CHARACTER_2 сожрали протухшие консервы,0,0,0,2,0
12c,2,0,CHARACTER_1 и CHARACTER_2 подрались за последний кусок шаурмы,0,0,0,2,0
13c,2,0,CHARACTER_1 и CHARACTER_2 сгорели на Солнце~ пока купались,0,0,0,2,0
14c,-1,0,На ужин все жрали рыбу с паразитами,0,0,0,2,0
15c,-1,0,Кто-то не досмотрел за костром. Сгорело все на*уй...,0,0,0,2,0
16c,-1,0,Собаки обоссали котелок с питьевой водой,0,0,0,2,0
17c,1,0,CHARACTER_1 провалился/провалилась в нужник,0,0,0,1,0
